"name","Origin","Year","Total"
"Poland","Afghanistan",2006,8
"Romania","Afghanistan",2006,5
"Slovakia","Afghanistan",2006,41
"Slovenia","Afghanistan",2006,2
"Spain","Afghanistan",2006,7
"Sweden","Afghanistan",2006,594
"Switzerland","Afghanistan",2006,229
"Turkey","Afghanistan",2006,259
"United Kingdom","Afghanistan",2006,2648
"United States","Afghanistan",2006,73
"Albania","Afghanistan",2007,1
"Australia","Afghanistan",2007,20
"Austria","Afghanistan",2007,761
"Belgium","Afghanistan",2007,696
"Bulgaria","Afghanistan",2007,77
"Canada","Afghanistan",2007,270
"Croatia","Afghanistan",2007,1
"Cyprus","Afghanistan",2007,24
"Czech Republic","Afghanistan",2007,21
"Denmark","Afghanistan",2007,144
"Finland","Afghanistan",2007,70
"France","Afghanistan",2007,184
"Germany","Afghanistan",2007,329
"Greece","Afghanistan",2007,1556
"Hungary","Afghanistan",2007,35
"Iceland","Afghanistan",2007,1
"Ireland","Afghanistan",2007,78
"Japan","Afghanistan",2007,12
"Luxembourg","Afghanistan",2007,3
"Malta","Afghanistan",2007,1
"Netherlands","Afghanistan",2007,143
"New Zealand","Afghanistan",2007,3
"Norway","Afghanistan",2007,206
"Poland","Afghanistan",2007,9
"Portugal","Afghanistan",2007,7
"South Korea","Afghanistan",2007,1
"Romania","Afghanistan",2007,3
"Slovakia","Afghanistan",2007,66
"Slovenia","Afghanistan",2007,12
"Spain","Afghanistan",2007,15
"Sweden","Afghanistan",2007,609
"Switzerland","Afghanistan",2007,314
"Turkey","Afghanistan",2007,705
"United Kingdom","Afghanistan",2007,2815
"United States","Afghanistan",2007,101
"Australia","Afghanistan",2008,78
"Austria","Afghanistan",2008,1382
"Belgium","Afghanistan",2008,879
"Bulgaria","Afghanistan",2008,55
"Canada","Afghanistan",2008,408
"Croatia","Afghanistan",2008,1
"Cyprus","Afghanistan",2008,33
"Czech Republic","Afghanistan",2008,28
"Denmark","Afghanistan",2008,418
"Finland","Afghanistan",2008,249
"France","Afghanistan",2008,263
"Germany","Afghanistan",2008,650
"Greece","Afghanistan",2008,2287
"Hungary","Afghanistan",2008,116
"Iceland","Afghanistan",2008,5
"Ireland","Afghanistan",2008,79
"Italy","Afghanistan",2008,2005
"Japan","Afghanistan",2008,4
"Latvia","Afghanistan",2008,10
"Lithuania","Afghanistan",2008,1
"Luxembourg","Afghanistan",2008,4
"Montenegro","Afghanistan",2008,1
"Netherlands","Afghanistan",2008,395
"New Zealand","Afghanistan",2008,2
"Norway","Afghanistan",2008,1320
"Poland","Afghanistan",2008,4
"Portugal","Afghanistan",2008,1
"Romania","Afghanistan",2008,5
"Slovakia","Afghanistan",2008,75
"Slovenia","Afghanistan",2008,10
"Spain","Afghanistan",2008,50
"Sweden","Afghanistan",2008,784
"Switzerland","Afghanistan",2008,382
"Macedonia [FYROM]","Afghanistan",2008,6
"Turkey","Afghanistan",2008,2642
"United Kingdom","Afghanistan",2008,3731
"United States","Afghanistan",2008,73
"Australia","Afghanistan",2009,1370
"Austria","Afghanistan",2009,2237
"Belgium","Afghanistan",2009,1228
"Bulgaria","Afghanistan",2009,58
"Canada","Afghanistan",2009,410
"Croatia","Afghanistan",2009,25
"Cyprus","Afghanistan",2009,49
"Czech Republic","Afghanistan",2009,4
"Denmark","Afghanistan",2009,1059
"Estonia","Afghanistan",2009,9
"Finland","Afghanistan",2009,461
"France","Afghanistan",2009,688
"Germany","Afghanistan",2009,3375
"Greece","Afghanistan",2009,1510
"Hungary","Afghanistan",2009,1194
"Iceland","Afghanistan",2009,2
"Ireland","Afghanistan",2009,68
"Italy","Afghanistan",2009,620
"Japan","Afghanistan",2009,5
"Latvia","Afghanistan",2009,18
"Liechtenstein","Afghanistan",2009,2
"Lithuania","Afghanistan",2009,8
"Luxembourg","Afghanistan",2009,13
"Netherlands","Afghanistan",2009,1281
"New Zealand","Afghanistan",2009,1
"Norway","Afghanistan",2009,3802
"Poland","Afghanistan",2009,14
"South Korea","Afghanistan",2009,8
"Romania","Afghanistan",2009,87
"Serbia","Afghanistan",2009,235
"Slovakia","Afghanistan",2009,51
"Slovenia","Afghanistan",2009,11
"Spain","Afghanistan",2009,43
"Sweden","Afghanistan",2009,1694
"Switzerland","Afghanistan",2009,719
"Macedonia [FYROM]","Afghanistan",2009,71
"Turkey","Afghanistan",2009,1009
"United Kingdom","Afghanistan",2009,3533
"United States","Afghanistan",2009,130
"Australia","Afghanistan",2010,3129
"Austria","Afghanistan",2010,1582
"Belgium","Afghanistan",2010,1124
"Bosnia and Herzegovina","Afghanistan",2010,11
